State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,01-01-2011,500,3951,2500
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,05-01-2011,751,3866,3000
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,06-01-2011,600,4142,3020
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,07-01-2011,500,3901,3000
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,08-01-2011,500,3902,3000
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,11-01-2011,500,3600,2900
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,12-01-2011,500,3200,2700
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,13-01-2011,500,3251,2600
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,14-01-2011,500,3101,2700
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,18-01-2011,700,3200,2600
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,19-01-2011,500,3208,2700
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,20-01-2011,500,3152,2600
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,21-01-2011,500,3000,2350
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,22-01-2011,500,2500,2100
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,25-01-2011,200,1365,1050
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,27-01-2011,200,1500,1250
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,28-01-2011,200,1569,1300
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,01-02-2011,352,1641,1400
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,03-02-2011,200,1381,1100
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,04-02-2011,200,1300,1125
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,05-02-2011,200,1300,1150
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,07-02-2011,500,1300,850
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,08-02-2011,100,1063,900
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,09-02-2011,200,700,550
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,10-02-2011,200,700,500
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,11-02-2011,200,901,850
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,12-02-2011,200,991,875
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,14-02-2011,360,1030,900
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,15-02-2011,300,981,875
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,17-02-2011,200,1022,900
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,18-02-2011,200,1100,925
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,21-02-2011,300,1030,900
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,22-02-2011,200,900,800
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,23-02-2011,200,700,550
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,24-02-2011,100,700,550
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,25-02-2011,100,740,650
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,26-02-2011,400,661,600
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,28-02-2011,100,679,525
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,01-03-2011,100,601,550
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,03-03-2011,100,550,500
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,05-03-2011,100,540,450
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,07-03-2011,200,416,350
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,08-03-2011,100,490,425
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,09-03-2011,100,500,450
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,12-03-2011,100,552,350
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,15-03-2011,100,500,400
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,16-03-2011,100,469,400
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,17-03-2011,100,435,375
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,18-03-2011,100,500,425
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,22-03-2011,100,488,400
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,23-03-2011,100,470,410
Maharashtra,Nashik,Chandvad,Onion,Red,FAQ,25-03-2011,100,500,410
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,06-04-2011,100,650,450
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,07-04-2011,100,660,405
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,08-04-2011,200,630,405
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,09-04-2011,200,636,415
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,13-04-2011,100,601,400
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,15-04-2011,100,584,400
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,19-04-2011,100,665,410
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,20-04-2011,100,698,450
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,21-04-2011,100,677,500
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,23-04-2011,100,700,450
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,26-04-2011,100,672,525
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,27-04-2011,100,670,520
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,28-04-2011,100,651,500
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,29-04-2011,100,636,500
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,30-04-2011,100,616,525
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,04-05-2011,100,635,525
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,10-05-2011,100,608,450
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,12-05-2011,100,625,510
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,13-05-2011,100,664,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,14-05-2011,100,661,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,18-05-2011,200,649,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,19-05-2011,200,622,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,20-05-2011,200,638,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,21-05-2011,200,638,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,24-05-2011,200,625,525
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,25-05-2011,200,637,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,26-05-2011,200,617,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,27-05-2011,200,600,525
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,28-05-2011,200,645,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,31-05-2011,200,631,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,02-06-2011,200,645,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,03-06-2011,200,664,550
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,04-06-2011,200,712,600
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,07-06-2011,200,751,600
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,09-06-2011,300,800,700
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,11-06-2011,100,770,700
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,14-06-2011,300,777,625
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,16-06-2011,300,771,610
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,17-06-2011,300,832,700
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,18-06-2011,300,840,650
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,21-06-2011,300,860,700
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,22-06-2011,300,921,750
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,23-06-2011,250,871,725
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,24-06-2011,250,901,725
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,25-06-2011,250,852,700
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,28-06-2011,250,865,700
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,29-06-2011,250,900,750
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,30-06-2011,250,916,800
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,02-07-2011,251,930,830
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,26-07-2011,290,876,830
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,27-07-2011,235,896,850
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,28-07-2011,300,901,850
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,29-07-2011,286,909,850
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,02-08-2011,350,992,850
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,03-08-2011,400,1000,900
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,04-08-2011,591,1051,960
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,05-08-2011,400,1031,975
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,06-08-2011,300,1035,960
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,09-08-2011,300,1090,900
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,10-08-2011,325,1094,1000
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,11-08-2011,350,1160,1000
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,12-08-2011,375,1148,1000
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,16-08-2011,400,1272,1200
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,17-08-2011,500,1283,1100
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,18-08-2011,506,1280,1200
Maharashtra,Nashik,Chandvad,Onion,Other,FAQ,20-08-2011,451,1286,1200
